Nama CPU,CPU Mark
AMD Athlon Neo X2 Dual Core L325,556
AMD Athlon Neo X2 Dual Core L335,529
AMD Athlon PRO 200GE,"3,816"
AMD Athlon PRO 300GE,"4,331"
AMD Athlon PRO 300U,"4,080"
AMD Athlon PRO 3045B,"2,770"
AMD Athlon Silver 3050C,"2,879"
AMD Athlon Silver 3050e,"2,901"
AMD Athlon Silver 3050GE,"4,545"
AMD Athlon Silver 3050U,"2,950"
AMD Athlon Silver 7120U,"3,001"
AMD Athlon Silver PRO 3125GE,"4,633"
AMD Athlon TF 20,265
AMD Athlon TF 36,338
AMD Athlon X2 215,996
AMD Athlon X2 240,921
AMD Athlon X2 240e,"1,015"
AMD Athlon X2 250,855
AMD Athlon X2 255,938
AMD Athlon X2 280,"1,327"
AMD Athlon X2 340 Dual Core,"1,333"
AMD Athlon X2 370K Dual Core,"1,643"
AMD Athlon X2 450,"1,295"
AMD Athlon X2 Dual Core 3250e,348
AMD Athlon X2 Dual Core 6850e,564
AMD Athlon X2 Dual Core BE 2300,570
AMD Athlon X2 Dual Core BE 2350,591
AMD Athlon X2 Dual Core BE 2400,674
AMD Athlon X2 Dual Core L310,343
AMD Athlon X3 425,"1,516"
AMD Athlon X3 435,"1,781"
AMD Athlon X3 440,"1,438"
AMD Athlon X3 445,"1,626"
AMD Athlon X3 455,"1,783"
AMD Athlon X4 530,"1,786"
AMD Athlon X4 620,"1,810"
AMD Athlon X4 640,"2,115"
AMD Athlon X4 730,"2,278"
AMD Athlon X4 740 Quad Core,"2,646"
AMD Athlon X4 750 Quad Core,"2,751"
AMD Athlon X4 750K Quad Core,"2,879"
AMD Athlon X4 760K Quad Core,"2,978"
AMD Athlon X4 830,"3,018"
AMD Athlon X4 840,"3,331"
AMD Athlon X4 845,"3,767"
AMD Athlon X4 850,"2,756"
AMD Athlon X4 860K,"3,427"
AMD Athlon X4 870K,"3,443"
AMD Athlon X4 880K,"3,649"
AMD Athlon X4 950,"3,576"
AMD Athlon X4 970,"3,701"
AMD Athlon XP 1500+,167
AMD Athlon XP 1600+,174
AMD Athlon XP 1700+,176
AMD Athlon XP 1800+,195
AMD Athlon XP 1900+,203
AMD Athlon XP 2000+,195
AMD Athlon XP 2100+,210
AMD Athlon XP 2200+,214
AMD Athlon XP 2400+,234
AMD Athlon XP 2500+,231
AMD Athlon XP 2600+,242
AMD Athlon XP 2700+,256
AMD Athlon XP 2800+,260
AMD Athlon XP 2900+,276
AMD Athlon XP 3000+,262
AMD Athlon XP 3100+,282
AMD Athlon XP 3200+,281
AMD Athlon XP1600+,183
AMD Athlon XP2400+,243
AMD Athlon64 X2 Dual Core 4600+,803
AMD BC 250,"13,548"
AMD C 30,178
AMD C 50,262
AMD C 60,290
AMD C 60 APU,316
AMD C 70 APU,315
AMD Custom APU 0932,"9,394"
AMD E 240,195
AMD E 300 APU,336
AMD E 350,430
AMD E 350 APU,423
AMD E 350D APU,486
AMD E 450 APU,438
AMD E1 Micro 6200T APU,600
AMD E1 1200 APU,380
AMD E1 1500 APU,385
AMD E1 2100 APU,408
AMD E1 2200 APU,474
AMD E1 2500 APU,593
AMD E1 6010 APU,545
AMD E1 6015 APU,584
AMD E1 6050J APU,"1,385"
AMD E1 7010 APU,613
AMD E2 1800 APU,451
AMD E2 2000 APU,496
AMD E2 3000 APU,743
AMD E2 3000M APU,668
AMD E2 3200 APU,986
AMD E2 3800 APU,"1,138"
AMD E2 6110 APU,"1,229"
AMD E2 7015,611
AMD E2 7015 APU,653
AMD E2 7110 APU,"1,508"
AMD E2 9000,956
AMD E2 9000e,885
AMD E2 9010,"1,073"
