Nama CPU,CPU Mark
AMD Sempron 3300+,315
AMD Sempron 3400+,292
AMD Sempron 3500+,232
AMD Sempron 3600+,337
AMD Sempron 3800+,360
AMD Sempron 3850 APU,"1,168"
AMD Sempron Dual Core 2100,506
AMD Sempron Dual Core 2200,563
AMD Sempron Dual Core 2300,555
AMD Sempron LE 1100,315
AMD Sempron LE 1150,251
AMD Sempron LE 1200,349
AMD Sempron LE 1250,301
AMD Sempron LE 1300,417
AMD Sempron M100,332
AMD Sempron M120,281
AMD Sempron SI 40,288
AMD Sempron SI 42,245
AMD Sempron X2 180,826
AMD Sempron X2 190,879
AMD Sempron X2 198 Dual Core,930
AMD Turion 64 Mobile MK 36,334
AMD Turion 64 Mobile MK 38,362
AMD Turion 64 Mobile ML 28,254
AMD Turion 64 Mobile ML 30,277
AMD Turion 64 Mobile ML 32,285
AMD Turion 64 Mobile ML 34,319
AMD Turion 64 Mobile ML 37,334
AMD Turion 64 Mobile ML 40,336
AMD Turion 64 Mobile ML 42,400
AMD Turion 64 Mobile ML 44,384
AMD Turion 64 Mobile MT 30,246
AMD Turion 64 Mobile MT 32,286
AMD Turion 64 Mobile MT 34,279
AMD Turion 64 Mobile MT 37,274
AMD Turion 64 X2 Mobile TL 50,474
AMD Turion 64 X2 Mobile TL 52,534
AMD Turion 64 X2 Mobile TL 56,514
AMD Turion 64 X2 Mobile TL 58,485
AMD Turion 64 X2 Mobile TL 60,638
AMD Turion 64 X2 Mobile TL 62,668
AMD Turion 64 X2 Mobile TL 64,668
AMD Turion 64 X2 Mobile TL 66,716
AMD Turion 64 X2 Mobile TL 68,866
AMD Turion Dual Core RM 70,561
AMD Turion Dual Core RM 72,649
AMD Turion Dual Core RM 74,588
AMD Turion Dual Core RM 75,659
AMD Turion II Dual Core Mobile M500,753
AMD Turion II Dual Core Mobile M520,855
AMD Turion II Dual Core Mobile M540,912
AMD Turion II N530 Dual Core,855
AMD Turion II N550 Dual Core,877
AMD Turion II Neo K625 Dual Core,618
AMD Turion II Neo K685 Dual Core,684
AMD Turion II Neo N40L Dual Core,624
AMD Turion II Neo N54L Dual Core,862
AMD Turion II P520 Dual Core,870
AMD Turion II P540 Dual Core,922
AMD Turion II P560 Dual Core,913
AMD Turion II Ultra Dual Core Mobile M600,955
AMD Turion II Ultra Dual Core Mobile M620,814
AMD Turion II Ultra Dual Core Mobile M640,"1,034"
AMD Turion II Ultra Dual Core Mobile M660,"1,011"
AMD Turion Neo X2 Dual Core L625,432
AMD Turion X2 Dual Core L510,603
AMD Turion X2 Dual Core Mobile RM 70,497
AMD Turion X2 Dual Core Mobile RM 76,691
AMD Turion X2 Dual Core Mobile RM 70,612
AMD Turion X2 Dual Core Mobile RM 72,653
AMD Turion X2 Dual Core Mobile RM 74,655
AMD Turion X2 Dual Core Mobile RM 75,733
AMD Turion X2 Dual Core Mobile RM 76,799
AMD Turion X2 Dual Core Mobile RM 77,562
AMD Turion X2 Ultra Dual Core Mobile ZM 80,506
AMD Turion X2 Ultra Dual Core Mobile ZM 82,645
AMD Turion X2 Ultra Dual Core Mobile ZM 84,802
AMD Turion X2 Ultra Dual Core Mobile ZM 85,828
AMD Turion X2 Ultra Dual Core Mobile ZM 86,695
AMD Turion X2 Ultra Dual Core Mobile ZM 87,783
AMD TurionX2 Dual Core Mobile RM 70,536
AMD TurionX2 Dual Core Mobile RM 72,471
AMD TurionX2 Ultra DualCore Mobile ZM 85,841
AMD TurionX2 Ultra DualCore Mobile ZM 87,599
AMD V105,184
AMD V120,385
AMD V140,422
AMD V160,371
AMD Z 01,305
AMD Z 60 APU,262
Amlogic,655
Amlogic AMLA311D2,"3,522"
Amlogic AMLS905D3,815
Amlogic AMLS905X2,754
Amlogic AMLS905X4,500
Amlogic AMLS905X5,"1,681"
Amlogic AMLT982,972
Ampere Altra Max,"72,121"
Ampere ARM   192 Core 3200 MHz,"57,444"
AOSP ranchu,"2,270"
ap201,565
Apple A11 Bionic,"4,434"
Apple A12 Bionic,"5,030"
Apple A12X Bionic,"11,047"
Apple A12Z Bionic,"9,365"
Apple A13 Bionic,"5,769"
Apple A14 Bionic,"8,548"
Apple A15 Bionic,"9,886"
Apple A16,"9,977"
Apple A16 Bionic,"10,912"
Apple A17 Pro,"12,194"
Apple A18,"12,455"
Apple A18 Pro,"12,891"
Apple A19,"14,525"
Apple A19 Pro,"14,801"
Apple A8,"1,528"
Apple A8X,"2,383"
Apple A9,"2,072"
Apple A9X,"2,508"
Apple M1 8 Core 3200 MHz,"14,146"
Apple M1 Max 10 Core 3200 MHz,"22,152"
Apple M1 Pro 10 Core 3200 MHz,"21,928"
Apple M1 Pro 8 Core 3200 MHz,"17,215"
Apple M1 Ultra 20 Core,"41,406"
Apple M2 8 Core 3500 MHz,"15,651"
Apple M2 Max 12 Core 3680 MHz,"26,823"
Apple M2 Pro 10 Core 3480 MHz,"21,925"
Apple M2 Pro 12 Core 3480 MHz,"26,689"
Apple M2 Ultra 24 Core,"50,787"
Apple M3 8 Core,"19,141"
Apple M3 Max 14 Core,"36,521"
Apple M3 Max 16 Core,"41,257"
Apple M3 Pro 11 Core,"24,877"
Apple M3 Pro 12 Core,"24,160"
Apple M3 Ultra 28 Core,"68,694"
Apple M3 Ultra 32 Core,"73,785"
Apple M4 10 Core,"23,834"
Apple M4 8 Core,"20,761"
Apple M4 9 Core,"22,232"
Apple M4 Max 14 Core,"38,561"
Apple M4 Max 16 Core,"43,956"
Apple M4 Pro 12 Core,"32,883"
Apple M4 Pro 14 Core,"38,152"
ARM   10 Core 0 MHz,"10,088"
ARM   10 Core 2000 MHz,"9,787"
ARM   12 Core 0 MHz,"14,352"
ARM   12 Core 2000 MHz,"16,944"
ARM   14 Core 2601 MHz,"12,794"
ARM   16 Core 0 MHz,"19,753"
ARM   2 Core 0 MHz,"2,368"
ARM   20 Core 0 MHz,"22,504"
ARM   32 Core 2911 MHz,"8,132"
ARM   32 Core 3300 MHz,"8,684"
ARM   4 Core 0 MHz,"5,650"
ARM   4 Core 1804 MHz,"3,336"
ARM   4 Core 2016 MHz,"3,653"
ARM   6 Core 0 MHz,"8,515"
ARM   6 Core 1800 MHz,"2,039"
ARM   8 Core 0 MHz,"8,515"
ARM   8 Core 1766 MHz,"4,080"
ARM   8 Core 1800 MHz,"3,192"
ARM   8 Core 2208 MHz,"2,270"
ARM   8 Core 2424 MHz,"8,610"
ARM Ampere 1 4 Core 0 MHz,"3,034"
ARM Ampere 1a 192 Core 2600 MHz,"47,202"
ARM Apple M1 (Virtual) 4 Core 0 MHz,"10,123"
ARM Apple M1 Max (Virtual) 10 Core 0 MHz,"21,197"
ARM Apple M5 10 Core,"28,757"
ARM ARMv7 rev 1 (v7l) 4 Core 1608 MHz,776
ARM ARMv7 rev 1 (v7l) 4 Core 1800 MHz,913
ARM ARMv7 rev 3 (v7l) 4 Core 2065 MHz,984
ARM ARMv7 rev 4 (v7l) 4 Core 1200 MHz,403
ARM ARMv7 rev 4 (v7l) 4 Core 1400 MHz,399
ARM ARMv7 rev 5 (v7l) 2 Core 0 MHz,113
ARM ARMv7 rev 5 (v7l) 4 Core 1200 MHz,325
ARM ARMv8 6 Core 0 MHz,"4,262"
ARM ARMv8 8 Core 2500 MHz,"4,102"
ARM ARMv8 rev 1 (v8l) 4 Core 1510 MHz,"1,042"
ARM ARMv8 rev 1 (v8l) 4 Core 1984 MHz,"1,473"
ARM ARMv8 rev 1 (v8l) 6 Core 1510 MHz,"2,553"
ARM ARMv8 rev 1 (v8l) 6 Core 1984 MHz,"2,776"
ARM Avalanche M2 4 Core 2424 MHz,"8,017"
ARM CIX P1 CD8180 7 Core 2500 MHz,"5,505"
ARM Cortex A15 4 Core 1400 MHz,"1,161"
ARM Cortex A15 4 Core 1500 MHz,"1,304"
ARM Cortex A15 4 Core 2000 MHz,923
ARM Cortex A15 8 Core 1400 MHz,"1,160"
ARM Cortex A17 4 Core 1800 MHz,781
ARM Cortex A35 4 Core 0 MHz,413
ARM Cortex A35 4 Core 1200 MHz,329
ARM Cortex A35 4 Core 1296 MHz,322
ARM Cortex A35 4 Core 2004 MHz,546
ARM Cortex A53 1 Core 0 MHz,65
ARM Cortex A53 2 Core 0 MHz,161
ARM Cortex A53 4 Core 0 MHz,337
ARM Cortex A53 4 Core 1000 MHz,215
ARM Cortex A53 4 Core 1008 MHz,313
ARM Cortex A53 4 Core 1152 MHz,338
ARM Cortex A53 4 Core 1199 MHz,408
ARM Cortex A53 4 Core 1200 MHz,277
ARM Cortex A53 4 Core 1296 MHz,416
ARM Cortex A53 4 Core 1300 MHz,438
ARM Cortex A53 4 Core 1333 MHz,207
ARM Cortex A53 4 Core 1368 MHz,385
ARM Cortex A53 4 Core 1392 MHz,417
ARM Cortex A53 4 Core 1400 MHz,271
ARM Cortex A53 4 Core 1416 MHz,469
ARM Cortex A53 4 Core 1500 MHz,340
ARM Cortex A53 4 Core 1512 MHz,470
ARM Cortex A53 4 Core 1536 MHz,222
ARM Cortex A53 4 Core 1600 MHz,479
ARM Cortex A53 4 Core 1608 MHz,462
ARM Cortex A53 4 Core 1704 MHz,556
ARM Cortex A53 4 Core 1800 MHz,508
ARM Cortex A53 4 Core 1908 MHz,638
ARM Cortex A53 4 Core 1968 MHz,571
ARM Cortex A53 4 Core 2016 MHz,435
ARM Cortex A53 4 Core 2040 MHz,593
ARM Cortex A53 4 Core 600 MHz,220
ARM Cortex A53 6 Core 1896 MHz,"1,851"
ARM Cortex A53 8 Core 1512 MHz,739
ARM Cortex A55 4 Core 0 MHz,415
ARM Cortex A55 4 Core 1416 MHz,505
ARM Cortex A55 4 Core 1800 MHz,630
ARM Cortex A55 4 Core 1908 MHz,707
ARM Cortex A55 4 Core 1992 MHz,680
ARM Cortex A55 4 Core 2000 MHz,711
ARM Cortex A55 4 Core 2016 MHz,755
ARM Cortex A55 4 Core 2100 MHz,695
ARM Cortex A55 4 Core 2124 MHz,742
ARM Cortex A55 4 Core 2208 MHz,798
ARM Cortex A55 4 Core 2508 MHz,960
ARM Cortex A55 6 Core 1800 MHz,984
ARM Cortex A55 8 Core 1416 MHz,"1,123"
ARM Cortex A55 8 Core 1500 MHz,536
ARM Cortex A55 8 Core 1800 MHz,"3,163"
ARM Cortex A57 2 Core 1479 MHz,318
ARM Cortex A57 4 Core 0 MHz,888
ARM Cortex A57 4 Core 1479 MHz,956
ARM Cortex A57 4 Core 1734 MHz,"1,170"
ARM Cortex A57 4 Core 1912 MHz,990
ARM Cortex A57 4 Core 2014 MHz,"1,229"
ARM Cortex A57 4 Core 2091 MHz,"1,192"
ARM Cortex A57 4 Core 2295 MHz,"1,080"
ARM Cortex A57 8 Core 1500 MHz,"1,022"
ARM Cortex A57 8 Core 1766 MHz,"3,766"
ARM Cortex A7 2 Core 1080 MHz,142
ARM Cortex A7 2 Core 960 MHz,111
ARM Cortex A7 2 Core 996 MHz,138
ARM Cortex A7 4 Core 1000 MHz,278
ARM Cortex A7 4 Core 1008 MHz,269
ARM Cortex A7 4 Core 1200 MHz,228
ARM Cortex A7 4 Core 1296 MHz,253
ARM Cortex A7 4 Core 1300 MHz,343
ARM Cortex A7 4 Core 1368 MHz,354
ARM Cortex A7 4 Core 1392 MHz,318
ARM Cortex A7 4 Core 900 MHz,232
ARM Cortex A715 4 Core 2200 MHz,"3,432"
ARM Cortex A72 1 Core 0 MHz,400
ARM Cortex A72 16 Core 0 MHz,"5,192"
ARM Cortex A72 16 Core 2000 MHz,"5,110"
ARM Cortex A72 16 Core 2200 MHz,"5,470"
ARM Cortex A72 2 Core 0 MHz,693
ARM Cortex A72 2 Core 1199 MHz,509
ARM Cortex A72 2 Core 1703 MHz,842
ARM Cortex A72 4 Core 0 MHz,"2,088"
ARM Cortex A72 4 Core 1000 MHz,608
ARM Cortex A72 4 Core 1200 MHz,174
ARM Cortex A72 4 Core 1416 MHz,927
ARM Cortex A72 4 Core 1500 MHz,616
ARM Cortex A72 4 Core 1600 MHz,667
ARM Cortex A72 4 Core 1700 MHz,541
ARM Cortex A72 4 Core 1750 MHz,335
ARM Cortex A72 4 Core 1800 MHz,677
ARM Cortex A72 4 Core 1850 MHz,199
ARM Cortex A72 4 Core 1900 MHz,742
ARM Cortex A72 4 Core 2000 MHz,765
ARM Cortex A72 4 Core 2016 MHz,"2,201"
ARM Cortex A72 4 Core 2100 MHz,674
ARM Cortex A72 4 Core 2200 MHz,795
ARM Cortex A72 4 Core 2208 MHz,"2,290"
ARM Cortex A72 4 Core 2300 MHz,905
ARM Cortex A72 4 Core 2394 MHz,"1,254"
ARM Cortex A72 4 Core 2400 MHz,"1,158"
ARM Cortex A72 4 Core 2800 MHz,314
ARM Cortex A72 4 Core 800 MHz,279
ARM Cortex A72 6 Core 1008 MHz,734
ARM Cortex A72 6 Core 1416 MHz,"1,071"
ARM Cortex A72 6 Core 1512 MHz,"1,183"
ARM Cortex A72 8 Core 0 MHz,"3,254"
ARM Cortex A72 8 Core 2016 MHz,"2,208"
ARM Cortex A720 12 Core 2600 MHz,"6,920"
ARM Cortex A720 8 Core 2600 MHz,"6,141"
ARM Cortex A725 10 Core 2808 MHz,"25,310"
ARM Cortex A73 4 Core 0 MHz,908
ARM Cortex A73 4 Core 1800 MHz,891
ARM Cortex A73 4 Core 1844 MHz,"1,368"
ARM Cortex A73 4 Core 1900 MHz,"1,547"
ARM Cortex A73 4 Core 1989 MHz,"1,780"
ARM Cortex A73 4 Core 2100 MHz,"1,185"
ARM Cortex A73 6 Core 1896 MHz,"1,242"
ARM Cortex A73 6 Core 1992 MHz,"1,311"
ARM Cortex A73 6 Core 2016 MHz,"1,445"
ARM Cortex A73 8 Core 1989 MHz,"1,803"
ARM Cortex A76 2 Core 0 MHz,"1,949"
ARM Cortex A76 4 Core 1500 MHz,"1,488"
ARM Cortex A76 4 Core 1608 MHz,"2,698"
ARM Cortex A76 4 Core 1800 MHz,"3,114"
ARM Cortex A76 4 Core 2000 MHz,"1,513"
ARM Cortex A76 4 Core 2400 MHz,"2,172"
ARM Cortex A76 4 Core 2500 MHz,"2,342"
ARM Cortex A76 4 Core 2600 MHz,"2,327"
ARM Cortex A76 4 Core 2700 MHz,"2,383"
ARM Cortex A76 4 Core 2800 MHz,"2,477"
ARM Cortex A76 4 Core 2900 MHz,"2,624"
ARM Cortex A76 4 Core 3000 MHz,"2,608"
ARM Cortex A76 4 Core 3100 MHz,"2,734"
ARM Cortex A76 4 Core 3200 MHz,"2,579"
ARM Cortex A76 4 Core 3300 MHz,"2,493"
ARM Cortex A76 4 Core 3400 MHz,"2,580"
ARM Cortex A76 8 Core 0 MHz,"1,917"
ARM Cortex A76 8 Core 1800 MHz,"3,064"
ARM Cortex A78 4 Core 1958 MHz,"3,150"
ARM Cortex A78 4 Core 2000 MHz,"3,016"
ARM Cortex A78 8 Core,"2,845"
ARM Cortex A78AE 10 Core 2112 MHz,"5,520"
ARM Cortex A78AE 12 Core 2201 MHz,"6,895"
ARM Cortex A78AE 16 Core 0 MHz,"9,072"
ARM Cortex A78AE 6 Core 1510 MHz,"2,418"
ARM Cortex A78AE 6 Core 1728 MHz,"2,778"
ARM Cortex A78AE 8 Core 1984 MHz,"3,764"
ARM Cortex A78AE 8 Core 2201 MHz,"3,788"
ARM Cortex X1 4 Core 0 MHz,"2,326"
ARM Cortex X1 4 Core 1803 MHz,"2,348"
ARM Cortex X1C 4 Core 2438 MHz,"6,007"
ARM D2000/8 8 Core 2300 MHz,"2,674"
ARM Falkor V1/Kryo 4 Core 1612 MHz,"1,453"
ARM Falkor V1/Kryo 8 Core 1900 MHz,"1,652"
ARM Falkor V1/Kryo 4 Core 1900 MHz,"1,656"
ARM Firestorm 4 Core 2064 MHz,"7,804"
ARM Firestorm 8 Core 2064 MHz,"6,775"
ARM Firestorm M1 4 Core 2064 MHz,"7,752"
ARM Firestorm M1 Pro 8 Core 2064 MHz,"9,872"
ARM FT 2000+/64 64 Core 0 MHz,"9,605"
ARM FT 2000/4 4 Core 2200 MHz,881
ARM FTC662 64 Core 0 MHz,"8,008"
ARM FTC663 8 Core 0 MHz,"2,408"
"ARM HUAWEI,Kunpeng 920 24 Core 2600 MHz","9,496"
ARM Krait 4 Core 0 MHz,393
ARM Kryo 3XX Gold 4 Core 1766 MHz,"2,222"
ARM Kryo 3XX Gold 8 Core 1766 MHz,"2,372"
ARM Kryo 4XX Gold 1 Core 0 MHz,769
ARM Kryo 4XX Gold 8 Core 0 MHz,"3,864"
ARM Kryo 4XX Gold 8 Core 1804 MHz,"2,531"
ARM Kryo 4XX Silver 4 Core 1804 MHz,"3,172"
ARM Kunpeng 920 16 Core 0 MHz,"7,202"
ARM Kunpeng 920 24 Core 0 MHz,"8,870"
ARM Kunpeng 920 24 Core 2600 MHz,"9,841"
ARM Kunpeng 920 8 Core 0 MHz,"3,989"
ARM Kunpeng 920 8 Core 2600 MHz,"3,910"
ARM Neoverse N1 1 Core 0 MHz,724
ARM Neoverse N1 10 Core 0 MHz,"7,390"
ARM Neoverse N1 12 Core 0 MHz,"8,994"
ARM Neoverse N1 128 Core 2600 MHz,"35,265"
ARM Neoverse N1 128 Core 2800 MHz,"43,111"
ARM Neoverse N1 128 Core 3000 MHz,"39,780"
ARM Neoverse N1 16 Core 0 MHz,"11,451"
ARM Neoverse N1 2 Core 0 MHz,"1,515"
ARM Neoverse N1 3 Core 0 MHz,"2,385"
ARM Neoverse N1 32 Core 0 MHz,"17,384"
ARM Neoverse N1 32 Core 1700 MHz,"11,841"
ARM Neoverse N1 4 Core 0 MHz,"3,120"
ARM Neoverse N1 48 Core 0 MHz,"27,266"
ARM Neoverse N1 6 Core 0 MHz,"4,575"
ARM Neoverse N1 60 Core 0 MHz,"30,828"
ARM Neoverse N1 64 Core 0 MHz,"28,040"
ARM Neoverse N1 64 Core 2200 MHz,"20,250"
ARM Neoverse N1 64 Core 3000 MHz,"17,515"
ARM Neoverse N1 8 Core 0 MHz,"5,976"
ARM Neoverse N1 80 Core 0 MHz,"34,878"
ARM Neoverse N1 80 Core 2600 MHz,"18,823"
ARM Neoverse N1 80 Core 2800 MHz,"11,755"
ARM Neoverse N1 80 Core 3000 MHz,"35,253"
ARM Neoverse N1 96 Core 2800 MHz,"29,890"
ARM Neoverse N2 16 Core 0 MHz,"14,636"
ARM Neoverse N2 2 Core 0 MHz,"1,987"
ARM Neoverse N2 8 Core 2500 MHz,"5,544"
ARM Neoverse V1 1 Core 0 MHz,785
ARM Neoverse V1 16 Core 0 MHz,"11,519"
ARM Neoverse V1 2 Core 0 MHz,"1,567"
ARM Neoverse V1 4 Core 0 MHz,"3,084"
ARM Neoverse V2 1 Core 0 MHz,944
ARM Neoverse V2 2 Core 0 MHz,"1,995"
ARM Neoverse V2 4 Core 0 MHz,"3,940"
ARM Neoverse V2 72 Core 3411 MHz,"56,432"
ARM Neoverse V2 72 Core 3447 MHz,"57,299"
ARM Neoverse V2 72 Core 3465 MHz,"57,369"
ARM Neoverse V2 72 Core 3519 MHz,"57,240"
ARM Neoverse V2 96 Core 0 MHz,"56,557"
ARM Oryon 12 Core 3417 MHz,"14,036"
ARM Oryon 8 Core 0 MHz,"4,955"
ARM Phytium D3000 8 Core 2500 MHz,"5,528"
ARM phytium FT1500a 4 Core 2000 MHz,"1,579"
"ARM Phytium,D2000/8 8 Core 2000 MHz","2,409"
"ARM Phytium,D2000/8 8 Core 2300 MHz","2,690"
"ARM Phytium,D2000/8 E8C 8 Core 2300 MHz","2,522"
"ARM Phytium,FT 2000/4 4 Core 0 MHz","1,658"
"ARM Phytium,FT 2000/4 8 Core 2300 MHz","2,720"
"ARM Phytium,FT D3000 8 Core 2500 MHz","5,601"
ARM Phytium D3000M 8 C 8 Core 1800 MHz,"4,541"
ARM X Gene 32 Core 3000 MHz,"8,202"
ARM X Gene 32 Core 3300 MHz,"8,684"
ARM X Gene 8 Core 0 MHz,"1,091"
ASUS Tinker Board 2/2S,"1,771"
Athlon 64 Dual Core 3800+,736
Athlon 64 Dual Core 5000+,850
Athlon 64 Dual Core 5600+,875
Athlon Dual Core 4050e,670
Athlon Dual Core 4450e,681
Athlon Dual Core 4850e,769
BCM2711,852
BCM2712,"3,284"
BCM2835,"1,239"
Broadcom BCM2712,"4,376"
Broadcom STB (Flattened Device Tree),659
Celeron Dual Core T3000  1.80GHz,643
Celeron Dual Core T3100  1.90GHz,613
Celeron Dual Core T3300  2.00GHz,633
Celeron Dual Core T3500  2.10GHz,764
CentaurHauls 2000MHz,"6,549"
CentaurHauls 2400MHz,"7,784"
CentaurHauls 2500MHz,"8,014"
CIX P1 CD8180,"9,277"
Common KVM v2,"2,127"
Cortex A76,51
DG1201SLF87HW,"2,369"
DG1301SML87HY,"3,624"
DG1401SNF87ID,"3,645"
DG1701SNF87IG,"2,981"
DO Regular,"1,077"
Dragonwing QCS6490,"6,001"
Dual Core AMD Opteron 1220 SE,748
Embedded Ryzen V4728X,"24,000"
Essgoo,497
Fabrikams XY9  3.15 GHz,"6,715"
Firestorm M1,"4,295"
General Purpose,"3,396"
Generic DT based system,639
Giada JHS558 (Android),"2,022"
Google GS201,"7,208"
Google R11 BtWifi Evt1.1,187
Google Tensor,"6,691"
Google Tensor G3,"8,033"
Google Tensor G4,"8,279"
Google Tensor G5,"12,483"
Grandstream GXV3480 Video Phone,"1,078"
Hardkernel ODROID N2Plus,"2,115"
"Haydn based on Qualcomm Technologies, Inc SM8350","5,392"
hi6210sft,796
hi6620oem,396
High Performance Datacenter v,"1,610"
HiSilicon Kirin,"6,405"
HiSilicon Kirin 659,"1,893"
Hisilicon Kirin 925,"1,053"
Hisilicon Kirin 930,"1,415"
Hisilicon Kirin 935,"1,599"
HiSilicon Kirin 950,"2,457"
Hisilicon Kirin 955,"2,936"
HiSilicon Kirin 960,"2,897"
HiSilicon Kirin 970,"2,908"
Hisilicon Kirin 990,"3,965"
Hisilicon Kirin710,"2,444"
Hisilicon Kirin810,"2,945"
Hisilicon Kirin820,"4,368"
Hisilicon Kirin9000,"5,083"
Hisilicon Kirin970,"2,690"
Hisilicon Kirin980,"4,392"
Hisilicon Kirin985,"4,162"
HP Hexa Core 2.0GHz,"1,741"
Hygon C86 3185 8 core,"9,243"
Hygon C86 3250 8 core,"11,424"
Hygon C86 3330 4 core,"6,031"
Hygon C86 3350 8 core,"12,795"
Hygon C86 52xx series,"4,080"
Hygon C86 7255 16 core,"18,831"
Hygon C86 3G,"12,691"
Hygon C86 3G (OPN 3350M),"4,660"
Hygon C86 3G (OPN:3350),"11,328"
Hygon C86 3G (OPN:3350M),"4,742"
Hygon C86 3G 3G (OPN:3350),"11,712"
Hygon C86 4G (OPN:3450M),"16,306"
Hygon C86 4G (OPN:3490),"21,968"
Hygon C86 4G (OPN:5440),"21,230"
Intel 2.80GHz,341
Intel 3 N350,"4,877"
Intel 3 N355,"10,481"
Intel 300,"7,247"
Intel 300T,"6,084"
Intel Atom 230  1.60GHz,169
Intel Atom 330  1.60GHz,381
Intel Atom C1110,"3,170"
Intel Atom C2338  1.74GHz,584
Intel Atom C2350  1.74GHz,520
Intel Atom C2358  1.74GHz,562
Intel Atom C2538  2.40GHz,968
Intel Atom C2550  2.40GHz,"1,422"
Intel Atom C2558  2.40GHz,"1,424"
Intel Atom C2750  2.40GHz,"2,787"
Intel Atom C2750  2.41GHz,"2,174"
Intel Atom C2758  2.40GHz,"2,317"
Intel Atom C3338  1.50GHz,"1,028"
Intel Atom C3508  1.60GHz,"1,831"
Intel Atom C3538  2.10GHz,"1,910"
Intel Atom C3558  2.20GHz,"2,431"
Intel Atom C3708  1.70GHz,"3,750"
Intel Atom C3758  2.20GHz,"4,614"
Intel Atom C3758R  2.40GHz,"5,100"
Intel Atom C3808  2.00GHz,"5,671"
Intel Atom C3858  2.00GHz,"5,040"
Intel Atom C3958  2.00GHz,"3,929"
Intel Atom C5125,"8,631"
Intel Atom D2500  1.86GHz,251
Intel Atom D2550  1.86GHz,409
Intel Atom D2560  2.00GHz,433
Intel Atom D2700  2.13GHz,467
Intel Atom D2701  2.13GHz,515
Intel Atom D410  1.66GHz,180
Intel Atom D425  1.80GHz,185
Intel Atom D510  1.66GHz,406
Intel Atom D525  1.80GHz,397
Intel Atom E3805  1.33GHz,406
Intel Atom E3815  1.46GHz,193
Intel Atom E3825  1.33GHz,378
Intel Atom E3826  1.46GHz,334
Intel Atom E3827  1.74GHz,480
Intel Atom E3840  1.91GHz,704
Intel Atom E3845  1.91GHz,"1,069"
Intel Atom E3900  1.60GHz,"1,953"
Intel Atom N2100  1.60GHz,193
Intel Atom N2600  1.60GHz,344
Intel Atom N270  1.60GHz,136
Intel Atom N280  1.66GHz,157
Intel Atom N2800  1.86GHz,444
Intel Atom N435  1.33GHz,153
Intel Atom N450  1.66GHz,202
Intel Atom N455  1.66GHz,188
Intel Atom N470  1.83GHz,224
Intel Atom N475  1.83GHz,179
Intel Atom N550  1.50GHz,304
Intel Atom N570  1.66GHz,360
Intel Atom P5322,"7,378"
Intel Atom P5342,"13,085"
Intel Atom P5362,"17,276"
Intel Atom S1260  2.00GHz,526
Intel Atom T5700  1.70GHz,"2,363"
Intel Atom x5 E3930  1.30GHz,896
Intel Atom x5 E3940  1.60GHz,"1,816"
Intel Atom x5 E8000  1.04GHz,971
Intel Atom x5 Z8300  1.44GHz,843
Intel Atom x5 Z8330  1.44GHz,800
Intel Atom x5 Z8350  1.44GHz,894
Intel Atom x5 Z8500  1.44GHz,"1,242"
Intel Atom x5 Z8550  1.44GHz,"1,143"
Intel Atom x6211E  1.20GHz,"1,695"
Intel Atom x6211E  1.30GHz,"1,762"
Intel Atom x6214RE  1.40GHz,"1,109"
Intel Atom x6413E  1.50GHz,"3,783"
Intel Atom x6414RE  1.50GHz,"2,128"
Intel Atom x6425E  2.00GHz,"3,675"
Intel Atom x6425RE  1.90GHz,"2,819"
Intel Atom x6427FE  1.90GHz,"3,196"
Intel Atom x7 E3950  1.60GHz,"2,071"
Intel Atom x7 Z8700  1.60GHz,"1,325"
Intel Atom x7 Z8750  1.60GHz,"1,294"
Intel Atom x7211E,"2,553"
Intel Atom x7211RE,"2,188"
Intel Atom x7213RE,"2,425"
Intel Atom x7405C,"5,218"
Intel Atom x7425E,"5,427"
Intel Atom x7433RE,"4,049"
Intel Atom x7809C,"9,409"
Intel Atom x7835RE,"6,513"
Intel Atom Z2760  1.80GHz,298
Intel Atom Z3530  1.33GHz,565
Intel Atom Z3560  1.00GHz,749
Intel Atom Z3560  1.83GHz,690
Intel Atom Z3580  1.33GHz,802
Intel Atom Z3735D  1.33GHz,704
Intel Atom Z3735E  1.33GHz,557
Intel Atom Z3735F  1.33GHz,543
Intel Atom Z3735G  1.33GHz,772
Intel Atom Z3736F  1.33GHz,496
Intel Atom Z3740  1.33GHz,638
Intel Atom Z3740D  1.33GHz,618
Intel Atom Z3745  1.33GHz,621
Intel Atom Z3745D  1.33GHz,599
Intel Atom Z3770  1.46GHz,728
Intel Atom Z3770D  1.49GHz,488
Intel Atom Z3775  1.46GHz,702
Intel Atom Z3775D  1.49GHz,794
Intel Atom Z3795  1.60GHz,"1,196"
Intel Atom Z520  1.33GHz,122
Intel Atom Z530  1.60GHz,183
Intel Atom Z670  1.50GHz,158
Intel CC150  3.50GHz,"14,326"
Intel Celeron 1.70GHz,101
Intel Celeron 1.80GHz,96
Intel Celeron 1000M  1.80GHz,"1,071"
Intel Celeron 1000MHz,139
Intel Celeron 1005M  1.90GHz,"1,116"
Intel Celeron 1007U  1.50GHz,848
Intel Celeron 1017U  1.60GHz,878
Intel Celeron 1019Y  1.00GHz,576
Intel Celeron 1020E  2.20GHz,"1,406"
Intel Celeron 1020M  2.10GHz,"1,275"
Intel Celeron 1037U  1.80GHz,"1,034"
